Username,Repository Name,Stars,Repository URL
electron,electron,122k,https://github.com/electron/electron
puppeteer,puppeteer,94.9k,https://github.com/puppeteer/puppeteer
microsoft,playwright,91.1k,https://github.com/microsoft/playwright
FiloSottile,mkcert,59.1k,https://github.com/FiloSottile/mkcert
ChromeDevTools,chrome-devtools-mcp,43.8k,https://github.com/ChromeDevTools/chrome-devtools-mcp
jaywcjlove,linux-command,36.3k,https://github.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,29.9k,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,23.2k,https://github.com/ovity/octotree
gildas-lormeau,SingleFile,21.6k,https://github.com/gildas-lormeau/SingleFile
xifangczy,cat-catch,20.1k,https://github.com/xifangczy/cat-catch
segment-boneyard,nightmare,19.8k,https://github.com/segment-boneyard/nightmare
GoogleChrome,chrome-extensions-samples,17.6k,https://github.com/GoogleChrome/chrome-extensions-samples
amir1376,ab-download-manager,16.1k,https://github.com/amir1376/ab-download-manager
checkly,headless-recorder,15.3k,https://github.com/checkly/headless-recorder
FlareSolverr,FlareSolverr,14.3k,https://github.com/FlareSolverr/FlareSolverr
moonD4rk,HackBrowserData,14.2k,https://github.com/moonD4rk/HackBrowserData
google,WebFundamentals,13.9k,https://github.com/google/WebFundamentals
browserless,browserless,13.4k,https://github.com/browserless/browserless
ajayyy,SponsorBlock,13.3k,https://github.com/ajayyy/SponsorBlock
schickling,chromeless,13.2k,https://github.com/schickling/chromeless
