Username,Repository Name,Stars,Repository URL
vercel,next.js,140k,https://github.com/vercel/next.js
rust-lang,rust,114k,https://github.com/rust-lang/rust
sveltejs,svelte,87.3k,https://github.com/sveltejs/svelte
webpack,webpack,65.8k,https://github.com/webpack/webpack
FuelLabs,sway,61.6k,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55.9k,https://github.com/gatsbyjs/gatsby
typst,typst,54.3k,https://github.com/typst/typst
JetBrains,kotlin,52.9k,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,44k,https://github.com/parcel-bundler/parcel
babel,babel,44k,https://github.com/babel/babel
ziglang,zig,43.1k,https://github.com/ziglang/zig
evanw,esbuild,39.9k,https://github.com/evanw/esbuild
vlang,v,37.6k,https://github.com/vlang/v
markedjs,marked,36.9k,https://github.com/markedjs/marked
swc-project,swc,33.9k,https://github.com/swc-project/swc
carbon-language,carbon-lang,33.8k,https://github.com/carbon-language/carbon-lang
v8,v8,25.1k,https://github.com/v8/v8
vercel,pkg,24.4k,https://github.com/vercel/pkg
RustPython,RustPython,22.1k,https://github.com/RustPython/RustPython
oxc-project,oxc,21.6k,https://github.com/oxc-project/oxc
