Username,Repository Name,Stars,Repository URL
freeCodeCamp,freeCodeCamp,448k,https://github.com/freeCodeCamp/freeCodeCamp
practical-tutorials,project-based-learning,270k,https://github.com/practical-tutorials/project-based-learning
react,react,246k,https://github.com/react/react
vuejs,vue,210k,https://github.com/vuejs/vue
trekhleb,javascript-algorithms,196k,https://github.com/trekhleb/javascript-algorithms
getify,You-Dont-Know-JS,185k,https://github.com/getify/You-Dont-Know-JS
twbs,bootstrap,174k,https://github.com/twbs/bootstrap
airbnb,javascript,148k,https://github.com/airbnb/javascript
Chalarangelo,30-seconds-of-code,128k,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,122k,https://github.com/electron/electron
nodejs,node,118k,https://github.com/nodejs/node
justjavac,free-programming-books-zh_CN,117k,https://github.com/justjavac/free-programming-books-zh_CN
mrdoob,three.js,113k,https://github.com/mrdoob/three.js
microsoft,TypeScript,109k,https://github.com/microsoft/TypeScript
axios,axios,109k,https://github.com/axios/axios
denoland,deno,107k,https://github.com/denoland/deno
goldbergyoni,nodebestpractices,105k,https://github.com/goldbergyoni/nodebestpractices
immich-app,immich,104k,https://github.com/immich-app/immich
angular,angular,100k,https://github.com/angular/angular
microsoft,Web-Dev-For-Beginners,95.9k,https://github.com/microsoft/Web-Dev-For-Beginners
