Username,Repository Name,Stars,Repository URL
AppFlowy-IO,AppFlowy,72.5k,https://github.com/AppFlowy-IO/AppFlowy
makeplane,plane,50.9k,https://github.com/makeplane/plane
frappe,erpnext,35.7k,https://github.com/frappe/erpnext
mattermost-community,focalboard,26.2k,https://github.com/mattermost-community/focalboard
hcengineering,platform,26.2k,https://github.com/hcengineering/platform
nocobase,nocobase,23k,https://github.com/nocobase/nocobase
architecture-decision-record,architecture-decision-record,16.1k,https://github.com/architecture-decision-record/architecture-decision-record
opf,openproject,15.3k,https://github.com/opf/openproject
plankanban,planka,12.1k,https://github.com/plankanban/planka
Leantime,leantime,10k,https://github.com/Leantime/leantime
kanboard,kanboard,9.6k,https://github.com/kanboard/kanboard
automazeio,ccpm,8.2k,https://github.com/automazeio/ccpm
kuaifan,dootask,5.5k,https://github.com/kuaifan/dootask
JordanKnott,taskcafe,5.2k,https://github.com/JordanKnott/taskcafe
mark-when,markwhen,4.8k,https://github.com/mark-when/markwhen
go-vikunja,vikunja,4.5k,https://github.com/go-vikunja/vikunja
bbatsov,projectile,4.2k,https://github.com/bbatsov/projectile
freeplane,freeplane,4.2k,https://github.com/freeplane/freeplane
ever-co,ever-gauzy,3.7k,https://github.com/ever-co/ever-gauzy
usekaneo,kaneo,3.7k,https://github.com/usekaneo/kaneo
