Username,Repository Name,Stars,Repository URL
apache,spark,43.5k,https://github.com/apache/spark
apache,kafka,32.9k,https://github.com/apache/kafka
apache,flink,26.1k,https://github.com/apache/flink
lichess-org,lila,18.4k,https://github.com/lichess-org/lila
heibaiying,BigData-Notes,16.9k,https://github.com/heibaiying/BigData-Notes
scala,scala,14.5k,https://github.com/scala/scala
deeplearning4j,deeplearning4j,14.2k,https://github.com/deeplearning4j/deeplearning4j
playframework,playframework,12.6k,https://github.com/playframework/playframework
apache,predictionio,12.5k,https://github.com/apache/predictionio
yahoo,CMAK,11.9k,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,11.6k,https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,10.7k,https://github.com/kanaka/mal
lk-geimfari,awesomo,9.9k,https://github.com/lk-geimfari/awesomo
gitbucket,gitbucket,9.4k,https://github.com/gitbucket/gitbucket
lauris,awesome-scala,9.2k,https://github.com/lauris/awesome-scala
twitter,finagle,8.9k,https://github.com/twitter/finagle
gatling,gatling,6.9k,https://github.com/gatling/gatling
Angel-ML,angel,6.8k,https://github.com/Angel-ML/angel
apache,zeppelin,6.6k,https://github.com/apache/zeppelin
nteract,papermill,6.5k,https://github.com/nteract/papermill
