Username,Repository Name,Stars,Repository URL
realm,SwiftLint,19.6k,https://github.com/realm/SwiftLint
keploy,keploy,17.6k,https://github.com/keploy/keploy
federico-busato,Modern-CPP-Programming,15.8k,https://github.com/federico-busato/Modern-CPP-Programming
facebook,infer,15.6k,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,14.6k,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,10.9k,https://github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,10.7k,https://github.com/SonarSource/sonarqube
super-linter,super-linter,10.5k,https://github.com/super-linter/super-linter
CodingDocs,awesome-java,9.5k,https://github.com/CodingDocs/awesome-java
reviewdog,reviewdog,9.4k,https://github.com/reviewdog/reviewdog
checkstyle,checkstyle,8.9k,https://github.com/checkstyle/checkstyle
facebook,pyre-check,7.2k,https://github.com/facebook/pyre-check
detekt,detekt,7k,https://github.com/detekt/detekt
facebook,pyrefly,6.7k,https://github.com/facebook/pyrefly
lintsinghua,DeepAudit,6.4k,https://github.com/lintsinghua/DeepAudit
trekhleb,state-of-the-art-shitcode,6.2k,https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5.9k,https://github.com/import-js/eslint-plugin-import
kucherenko,jscpd,5.8k,https://github.com/kucherenko/jscpd
pylint-dev,pylint,5.7k,https://github.com/pylint-dev/pylint
pmd,pmd,5.4k,https://github.com/pmd/pmd
