Username,Repository Name,Stars,Repository URL
twbs,bootstrap,174k,https://github.com/twbs/bootstrap
Chalarangelo,30-seconds-of-code,128k,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,122k,https://github.com/electron/electron
microsoft,Web-Dev-For-Beginners,95.9k,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,95.6k,https://github.com/tailwindlabs/tailwindcss
florinpop17,app-ideas,95k,https://github.com/florinpop17/app-ideas
animate-css,animate.css,82.6k,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,76.7k,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,72.9k,https://github.com/thedaviddias/Front-End-Checklist
juliangarnier,anime,69.9k,https://github.com/juliangarnier/anime
h5bp,html5-boilerplate,57.5k,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,53.5k,https://github.com/necolas/normalize.css
prettier,prettier,52k,https://github.com/prettier/prettier
jgthms,bulma,50.1k,https://github.com/jgthms/bulma
Asabeneh,30-Days-Of-JavaScript,46.5k,https://github.com/Asabeneh/30-Days-Of-JavaScript
ColorlibHQ,AdminLTE,45.5k,https://github.com/ColorlibHQ/AdminLTE
vercel,hyper,44.6k,https://github.com/vercel/hyper
parcel-bundler,parcel,44k,https://github.com/parcel-bundler/parcel
yangshun,front-end-interview-handbook,44k,https://github.com/yangshun/front-end-interview-handbook
tabler,tabler,41.2k,https://github.com/tabler/tabler
