Username,Repository Name,Stars,Repository URL
react,react,246k,https://github.com/react/react
vuejs,vue,210k,https://github.com/vuejs/vue
vitejs,vite,81.5k,https://github.com/vitejs/vite
typicode,json-server,75.6k,https://github.com/typicode/json-server
thedaviddias,Front-End-Checklist,72.9k,https://github.com/thedaviddias/Front-End-Checklist
ionic-team,ionic-framework,52.5k,https://github.com/ionic-team/ionic-framework
expo,expo,50.1k,https://github.com/expo/expo
dypsilon,frontend-dev-bookmarks,47k,https://github.com/dypsilon/frontend-dev-bookmarks
GitHubDaily,GitHubDaily,46.8k,https://github.com/GitHubDaily/GitHubDaily
LeCoupa,awesome-cheatsheets,46k,https://github.com/LeCoupa/awesome-cheatsheets
Leonxlnx,taste-skill,45.2k,https://github.com/Leonxlnx/taste-skill
NaiboWang,EasySpider,44.1k,https://github.com/NaiboWang/EasySpider
fastapi,full-stack-fastapi-template,43.7k,https://github.com/fastapi/full-stack-fastapi-template
CorentinTh,it-tools,39.4k,https://github.com/CorentinTh/it-tools
QuivrHQ,quivr,39.2k,https://github.com/QuivrHQ/quivr
mouredev,Hello-Python,36.1k,https://github.com/mouredev/Hello-Python
Dokploy,dokploy,34.9k,https://github.com/Dokploy/dokploy
xitu,gold-miner,34.3k,https://github.com/xitu/gold-miner
ascoders,weekly,31k,https://github.com/ascoders/weekly
haizlin,fe-interview,26.2k,https://github.com/haizlin/fe-interview
