Username,Repository Name,Stars,Repository URL
freeCodeCamp,freeCodeCamp,448k,https://github.com/freeCodeCamp/freeCodeCamp
Chalarangelo,30-seconds-of-code,128k,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,122k,https://github.com/electron/electron
nodejs,node,118k,https://github.com/nodejs/node
axios,axios,109k,https://github.com/axios/axios
goldbergyoni,nodebestpractices,105k,https://github.com/goldbergyoni/nodebestpractices
immich-app,immich,104k,https://github.com/immich-app/immich
nvm-sh,nvm,93.8k,https://github.com/nvm-sh/nvm
oven-sh,bun,93.3k,https://github.com/oven-sh/bun
nestjs,nest,75.9k,https://github.com/nestjs/nest
strapi,strapi,72.4k,https://github.com/strapi/strapi
bytedance,deer-flow,71.3k,https://github.com/bytedance/deer-flow
expressjs,express,69.2k,https://github.com/expressjs/express
leonardomso,33-js-concepts,66.5k,https://github.com/leonardomso/33-js-concepts
sindresorhus,awesome-nodejs,66k,https://github.com/sindresorhus/awesome-nodejs
socketio,socket.io,63.2k,https://github.com/socketio/socket.io
coollabsio,coolify,57.1k,https://github.com/coollabsio/coolify
laurent22,joplin,55.2k,https://github.com/laurent22/joplin
TryGhost,Ghost,54k,https://github.com/TryGhost/Ghost
coreybutler,nvm-windows,46.8k,https://github.com/coreybutler/nvm-windows
