Username,Repository Name,Stars,Repository URL
goldbergyoni,nodebestpractices,105k,https://github.com/goldbergyoni/nodebestpractices
oven-sh,bun,93.3k,https://github.com/oven-sh/bun
ruvnet,RuView,74.2k,https://github.com/ruvnet/RuView
ruvnet,ruflo,59.8k,https://github.com/ruvnet/ruflo
meteor,meteor,44.8k,https://github.com/meteor/meteor
yarnpkg,yarn,41.5k,https://github.com/yarnpkg/yarn
lerna,lerna,36.1k,https://github.com/lerna/lerna
pnpm,pnpm,35.5k,https://github.com/pnpm/pnpm
honojs,hono,31k,https://github.com/honojs/hono
Devolutions,UniGetUI,24.5k,https://github.com/Devolutions/UniGetUI
apify,crawlee,23.8k,https://github.com/apify/crawlee
renovatebot,renovate,21.8k,https://github.com/renovatebot/renovate
verdaccio,verdaccio,17.7k,https://github.com/verdaccio/verdaccio
jaywcjlove,reference,15.1k,https://github.com/jaywcjlove/reference
jaredpalmer,tsdx,11.5k,https://github.com/jaredpalmer/tsdx
raineorshine,npm-check-updates,10.3k,https://github.com/raineorshine/npm-check-updates
astrit,css.gg,10k,https://github.com/astrit/css.gg
npm,cli,9.8k,https://github.com/npm/cli
voidcosmos,npkill,9.3k,https://github.com/voidcosmos/npkill
release-it,release-it,9k,https://github.com/release-it/release-it
