Username,Repository Name,Stars,Repository URL
react,react-native,126k,https://github.com/react/react-native
justjavac,free-programming-books-zh_CN,117k,https://github.com/justjavac/free-programming-books-zh_CN
storybookjs,storybook,90.4k,https://github.com/storybookjs/storybook
enaqx,awesome-react,73.7k,https://github.com/enaqx/awesome-react
appwrite,appwrite,56.3k,https://github.com/appwrite/appwrite
laurent22,joplin,55.2k,https://github.com/laurent22/joplin
dkhamsing,open-source-ios-apps,50.7k,https://github.com/dkhamsing/open-source-ios-apps
expo,expo,50.1k,https://github.com/expo/expo
react-hook-form,react-hook-form,44.8k,https://github.com/react-hook-form/react-hook-form
sudheerj,reactjs-interview-questions,44.6k,https://github.com/sudheerj/reactjs-interview-questions
mattermost,mattermost,38k,https://github.com/mattermost/mattermost
NervJS,taro,37.5k,https://github.com/NervJS/taro
jondot,awesome-react-native,35.7k,https://github.com/jondot/awesome-react-native
jaredpalmer,formik,34.3k,https://github.com/jaredpalmer/formik
vercel,swr,32.4k,https://github.com/vercel/swr
karakeep-app,karakeep,26k,https://github.com/karakeep-app/karakeep
react-native-elements,react-native-elements,25.8k,https://github.com/react-native-elements/react-native-elements
zulip,zulip,25.4k,https://github.com/zulip/zulip
maotoumao,MusicFree,25.2k,https://github.com/maotoumao/MusicFree
react-navigation,react-navigation,24.5k,https://github.com/react-navigation/react-navigation
